BOM ID,TYPE,PHX Class,Theoretical QTY,Location,Cycle Count,Date Counted,UOM,Theo' x Actual Variance,Past 30 MO,Past 30 FO,Manufactured-Fulfilled,Received QTY After Actual Count (From Receiving Logs Only) (+),MFG After Actual (-),rank,,,,,,Theoretical QTY,Actual Count,Date Counted,WH Remarks,Variance,Random Count,Date Counted,Subtype
LABL-PS-3.75x3-Shilajit-25g,Label,C,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,"1,700.00",10/07/24,,100.00%,"1,700.00",10/07/24,Purisure Labels
LABL-PS-3.75x3-Shilajit-100g,Label,A,"1,930.00",,"1,930.00",09/01/24,units,0.00%,200,200,0,0,200,90,,,,,,1730,"1,930.00",10/07/24,,0.00%,"1,930.00",10/07/24,Purisure Labels
LABL-PS-3.75x3-Green-Coffee-Ext-150g,Label,B,"1,500.00",,"1,500.00",09/01/24,units,0.00%,0,0,0,0,0,136,,,,,,1500,"1,500.00",10/07/24,,0.00%,"1,500.00",10/07/24,Purisure Labels
LABL-PS-3.75x3-CDP-Choline-10g,Label,C,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Purisure Labels
LABL-PS-3.75x3-CDP-Choline-50g,Label,B,700,,700,09/01/24,units,0.00%,0,0,0,0,0,123,,,,,,700,700,10/07/24,,0.00%,700,10/07/24,Purisure Labels
LABL-PS-3.75x3-Vit-C-250g,Label,C,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Purisure Labels
LABL-PS-4x6-Vitamin-C-1kg,Label,C,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Purisure Labels
LABL-PS-3.75x3-Citrulline-Malate-250g,Label,C,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Purisure Labels
LABL-PS-3.75x3-Citrulline-Malate-1kg,Label,C,"2,620.00",,"2,620.00",09/01/24,units,0.00%,0,0,0,0,0,119,,,,,,2620,"1,500.00",10/07/24,,-74.67%,"1,500.00",10/07/24,Purisure Labels
LABL-PS-3.75x3-Alpha-GPC-25g,Label,C,0,,0,09/01/24,units,0.00%,0,0,0,0,0,155,,,,,,0,800,10/07/24,,100.00%,800,10/07/24,Purisure Labels
LABL-PS-3.75x3-Alpha-GPC-100g,Label,C,"1,015.00",,515,09/01/24,units,97.09%,0,0,0,500,0,240,,,,,,1015,800,10/07/24,,-26.88%,800,10/07/24,Purisure Labels
LABL-PS-3.75x3-Theanine-100g,Label,C,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Purisure Labels
LABL-7X2.5-PS-Caffeine-L-Theanine,Label,C,"1,000.00",,"1,000.00",09/01/24,units,0.00%,0,0,0,0,0,133,,,,,,1000,"1,000.00",10/07/24,,0.00%,"1,000.00",10/07/24,Purisure Labels
LABL-PS-3.75x3-Monk-Fruit-Stevia-Blend-4X-4oz,Label,C,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Purisure Labels
LABL-PS-3.75x3-Myo-Inositol-1kg,Label,C,"1,020.00",,"1,020.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,1020,"1,020.00",10/07/24,,0.00%,"1,020.00",10/07/24,Purisure Labels
LABL-PS-3.75x3-Longjack-200:1-100g,Label,C,500,,500,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,500,500,10/07/24,,0.00%,500,10/07/24,Purisure Labels
LABL-PS-3.75x3-Longjack-100:1-25g,Label,,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Purisure Labels
LABL-PS-3.75x3-Wheat-Grass-Org-150g,Label,C,"1,020.00",,"1,020.00",09/01/24,units,0.00%,0,0,0,0,0,182,,,,,,1020,"1,020.00",10/07/24,,0.00%,"1,020.00",10/07/24,Purisure Labels
LABL-PS-3.75x3-Wheatgrass-Powder-Org-8oz,Label,C,"1,030.00",,"1,030.00",09/01/24,units,0.00%,0,0,0,0,0,201,,,,,,1030,"1,030.00",10/07/24,,0.00%,"1,030.00",10/07/24,Purisure Labels
LABL-PS-3.75x3-Agmatine-100g,Label,C,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Purisure Labels
LABL-PS-3.75x3-Dihydromyricetin-DHM-100g,Label,A,"1,380.00",,"1,380.00",09/01/24,units,0.00%,400,400,0,0,400,92,,,,,,980,"1,380.00",10/07/24,,0.00%,"1,380.00",10/07/24,Purisure Labels
LABL-PS-3.75x4.75-Beta-Alanine-1kg,Label,C,"1,940.00",,"1,940.00",09/01/24,units,0.00%,0,0,0,0,0,180,,,,,,1940,"1,940.00",10/07/24,,0.00%,"1,940.00",10/07/24,Purisure Labels
LABL-PS-3.75x3-Beta-Alanine-1kg,Label,,"1,940.00",,"1,940.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,1940,"1,940.00",10/07/24,,0.00%,"1,940.00",10/07/24,Purisure Labels
LABL-PS-3.75x4.75-Spirulina-1kg,Label,,0,,,09/01/24,units,0.00%,0,0,0,0,0,,,,,,,0,,10/07/24,,0.00%,,10/07/24,Purisure Labels
LABL-PS-3.75x4.75-Alcar-250g,Label,C,"1,490.00",,"1,490.00",09/01/24,units,0.00%,0,0,0,0,0,152,,,,,,1490,"1,490.00",10/07/24,,0.00%,"1,490.00",10/07/24,Purisure Labels
LABL-PS-3.75x4.75-Spirulina-250g,Label,,0,,,09/01/24,units,0.00%,0,0,0,0,0,,,,,,,0,,10/07/24,,0.00%,,10/07/24,Purisure Labels
LABL-PS-3.75x4.75-Spirulina-Org-16oz,Label,C,828,,828,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,828,828,10/07/24,,0.00%,828,10/07/24,Purisure Labels
