ASIN,iSKU,BOM ID,BOM Class,Component Type,Quantity (unit/kg/Liter),Material Unit Price,Per FG price,Status,
B08KWL8VQ2,AY-Here-Comes-The-Sun-Room-Spray-16oz,M1006CL-Dome-Shrink-Band 66X175,Packaging,Safety Shrink Band,1,0.09,0.0912,Active,
B08KWL8VQ2,AY-Here-Comes-The-Sun-Room-Spray-16oz,SPRAY-MIST-20-410-White-5.5-NEW,Packaging,Top Cover,1,0.33,0.33292,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,BTL-4oz-Cosmo-White-20-410,Packaging,Container/Pouch,1,0.24,0.24,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,RM-Organic-Orange-Essential-Oil,Raw Material,Ingredient,0.0001,51.26,0.00513,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,RM-TA-LEMON-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00015,169.95,0.02549,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,RM-TA-PEPPERMINT-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00015,70.95,0.01064,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,RM-Witch-Hazel-Distillate,Raw Material,Ingredient,0.001,4.03,0.00403,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,RM-Polysorbate-20,Raw Material,Ingredient,0.0014,13.2,0.01848,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,RM-ISO-ALCOHOL-99,Raw Material,Ingredient,0.0031,0.73,0.00227,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.0069,0.26,0.00182,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,RM-Lemongrass-Essential-Oil,Raw Material,Ingredient,0.01,50.93,0.5093,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.08,0.26,0.02113,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,LABEL AY-Here-Comes-The-Sun-Room-Spray 4oz,Packaging,Label,1,0.3,0.3,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,M1006CL-Dome-Shrink-Band 66X175,Packaging,Safety Shrink Band,1,0.09,0.0912,Active,
B08K3P65HM,AY-Here-Comes-The-Sun-Room-Spray-4oz,SPRAY-MIST-20-410-White-5.5-NEW,Packaging,Top Cover,1,0.33,0.33292,Active,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,BTL-4oz-Cosmo-White-20-410,Packaging,Container/Pouch,1,0.24,0.24,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,BTL-16oz-Diamond-White-24-410,Packaging,Container/Pouch,1,0.41,0.41495,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-Organic-Orange-Essential-Oil,Raw Material,Ingredient,0.0001,51.26,0.00513,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-TA-LEMON-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00015,169.95,0.02549,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-TA-PEPPERMINT-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00015,70.95,0.01064,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-Organic-Orange-Essential-Oil,Raw Material,Ingredient,0.0004,51.26,0.0205,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-TA-LEMON-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.0006,169.95,0.10197,Hibernated,
