iSKU,Brand,PHX Class,Theoretical QTY,Location,Actual Count,Date Counted,UOM,Mfg After Date Counted (+),Received QTY After Actual Count (From Receiving Logs Only) (+),FO After Date Counted (-),FO After Date Counted (-) (FROM BUNDLES),IHF After Date Counted (-),Duplicate,ASIN,FBA VELOZ RANKING,Past 30 MO,Past 30 FO,Manufactured-Fulfilled,,Theo Count Static,Actual Count,Date Counted,Warehouse Remarks,Variance,,,,NOT IN WIR-FG,
TN-Liquid-Stevia-Drops-2oz,Tejonova,C,27,,27,10/04/24,Units,0,0,0,0,0,,B0CZDRCVFQ,27,0,0,0,,,27,10/04/24,,0.00%,,,,,Tejonova
TN-Liquid-Stevia-Drops-8oz,Tejonova,B,45,,46,10/04/24,Units,0,0,0,0,1,,B0CZDJ4K8N,45,0,0,0,,,46,10/04/24,,2.17%,,,,,Tejonova
TN-Organic-Monk-Fruit-1oz,Tejonova,C,10,,10,10/04/24,Units,0,0,0,0,0,,B0CZ9DD9GG,10,0,0,0,,,10,10/04/24,,0.00%,,,,,Tejonova
TN-Organic-Monk-Fruit-4.5oz,Tejonova,B,4,,4,10/04/24,Units,0,0,0,0,0,,B0CZ25H5LD,4,0,0,0,,,4,10/04/24,,0.00%,,,,,Tejonova
TN-Organic-Stevia-Extract-1oz,Tejonova,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0CZDRK3WC,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Tejonova
TN-Organic-Stevia-Extract-5oz,Tejonova,C,10,,11,10/04/24,Units,0,0,0,0,1,,B0CZDRQHBZ,10,0,0,0,,,11,10/04/24,,9.09%,,,,,Tejonova
TN-Monk-Fruit-Sweetener-Powder-1oz,Tejonova,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0DBVJY2ZC,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Tejonova
TN-Monk-Fruit-Sweetener-Powder-5oz,Tejonova,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0DBV9BBP2,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Tejonova
TN-Monk-Fruit-Sweetener-Powder-1lb,Tejonova,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0DBVBFQHD,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Tejonova
TreeActiv Acne Spot Treatments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA-Cystic-Acne-Spot-Treatment-0.5oz,TreeActiv,C,0,02-Feb,0,10/04/24,Units,0,0,0,0,0,,B01BPCAWK4,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Acne Spot Treatments
TA-Cystic-Acne-Spot-Treatment-0.5oz-2Pack,TreeActiv,C,0,04-Mar,0,10/04/24,Units,0,0,0,0,0,,B08NRP3BJD,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Acne Spot Treatments
TA-Salicylic-Cystic-Acne-Treatment,TreeActiv,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0CWGJN9GP,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Acne Spot Treatments
TA-milia-acne-spot-treatment-0.5oz,TreeActiv,A,229,,230,10/04/24,Units,0,0,0,0,1,,B0CLVS67FY,0,0,0,0,,,230,10/04/24,,0.43%,,,,,TreeActiv Acne Spot Treatments
TA-Invisible-Acne-Spot-Treatment-0.5oz,TreeActiv,B,22,02-Feb,23,10/04/24,Units,0,0,0,0,1,,B06XRFGLZT,0,0,0,0,,,23,10/04/24,,4.35%,,,,,TreeActiv Acne Spot Treatments
TA-Invisible-Spot-Treatment-DS,TreeActiv,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0D7W1TT8G,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Acne Spot Treatments
TA-Acne-Face-Cream-2oz-DS,TreeActiv,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0D87KN31Q,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Acne Spot Treatments
TreeActiv Skincare Sprays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA-Acne-Body-Spray-4oz,TreeActiv,PLC-2024,126,03-Mar,126,10/04/24,Units,0,0,0,0,0,,B0CP838DW7,126,800,800,0,,,126,10/04/24,,0.00%,,,,,TreeActiv Skincare Sprays
TA-Acne-Body-Spray-4oz-2pack,TreeActiv,A,54,,54,10/04/24,Units,0,0,0,0,0,,B0B4JQJ5B2,0,1300,1300,0,,,54,10/04/24,,0.00%,,,,,TreeActiv Skincare Sprays
TA-Acne-Body-Spray-8oz-DS-New,TreeActiv,A,0,,0,10/04/24,Units,0,0,0,0,0,,B0DBRH4D1G,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Skincare Sprays
TA-Acne-Eliminating-Body-Spray-8oz,TreeActiv,B,5,03-Feb,5,10/04/24,Units,0,0,0,0,0,,B01ETGXJVC,0,0,0,0,,,5,10/04/24,,0.00%,,,,,TreeActiv Skincare Sprays
TA-Anti-Acne-Pillow-Spray-Lavender-4oz,TreeActiv,B,84,,85,10/04/24,Units,0,0,0,0,1,,B08C3XXQDQ,84,0,0,0,,,85,10/04/24,,1.18%,,,,,TreeActiv Skincare Sprays
TA-Anti-Acne-Pillow-Spray-4oz,TreeActiv,A,32,01-Mar,32,10/04/24,Units,0,0,0,0,0,,B01M9DP25F,32,0,0,0,,,32,10/04/24,,0.00%,,,,,TreeActiv Skincare Sprays
TA-Acne-Face-Spray-4oz,TreeActiv,B,108,03-Feb,108,10/04/24,Units,0,0,0,0,0,,B079ZCGJZF,0,0,0,0,,,108,10/04/24,,0.00%,,,,,TreeActiv Skincare Sprays
TA-Balancing-Herbal-Toner-4oz,TreeActiv,B,96,04-Mar,96,10/04/24,Units,0,0,0,0,0,,B01BPBXJIM,96,0,0,0,,,96,10/04/24,,0.00%,,,,,TreeActiv Skincare Sprays
